grade	word	meaning	category
5-1	living room	客厅	room
5-1	bedroom	卧室	room
5-1	model plane	飞机模型	toy
5-1	kitchen	厨房	room
5-1	bathroom	浴室，卫生间	room
5-1	their	他们的	pronoun
5-1	light	灯，光	noun
5-1	watch	观看	verb
5-1	TV	电视机	noun
5-1	before	在……以前	prep
5-1	bedtime	就寝时间	time
5-1	do homework	做家庭作业	phrase
5-1	turn off	关掉	phrase
5-1	watch TV	看电视	phrase
5-1	tell a story	讲故事	phrase
5-1	beach	海滩	place
5-1	enjoy	享受……的乐趣	verb
5-1	sunshine	阳光	nature
5-1	collect	收集	verb
5-1	shell	贝壳	nature
5-1	sea	海	nature
5-1	letter	信	noun
5-1	put	放，安置	verb
5-1	know	知道	verb
5-1	year	年岁，年	time
5-1	on holiday	度假	phrase
5-1	have a good time	玩得高兴	phrase
5-1	outing	远足	activity
5-1	map	地图	noun
5-1	hill	山丘	nature
5-1	find	找到	verb
5-1	diamond	钻石	noun
5-1	another	另一个	determiner
5-1	lake	湖	nature
5-1	funny	滑稽的，好笑的	adj
5-1	hole	洞	noun
5-1	key	钥匙	noun
5-1	think	想	verb
5-1	at the top of	在……顶部	phrase
5-1	get through	通过	phrase
5-1	post office	邮局	place
5-1	quite	相当，十分	adv
5-1	along	沿着，顺着	prep
5-1	turn	转向，转弯	verb
5-1	left	左边	direction
5-1	straight	笔直地	adv
5-1	right	右边，正确的	direction
5-1	between	在……中间	prep
5-1	flower shop	花店	place
5-1	hospital	医院	place
5-1	toy shop	玩具店	place
5-1	road	路，马路	place
5-1	get to	到达	phrase
5-1	gently	和缓地，温柔地	adv
5-1	blow	刮，吹	verb
5-1	softly	轻柔地	adv
5-1	strongly	强劲地	adv
5-1	happily	快乐地	adv
5-1	windmill	风车	noun
5-1	move	移动	verb
5-1	slowly	缓慢地	adv
5-1	quickly	迅速地	adv
5-1	sound	声音，听起来好像	noun
5-1	wind-bell	风铃	noun
5-1	cut	剪，砍	verb
5-1	paper	纸	noun
5-1	quiet	轻声的	adj
5-1	tap	水龙头	noun
5-1	use	使用	verb
5-1	vegetables	蔬菜	food
5-1	clothes	衣服	clothes
5-1	farmer	农民	job
5-1	useful	有用的	adj
5-1	drop	滴，水珠	noun
5-1	up	向上	direction
5-1	shine	照耀	verb
5-1	over	在……上方	prep
5-1	mountain	山，山脉	nature
5-1	tree	树	nature
5-1	ground	地面	nature
5-1	inside	在……里面	prep
5-1	grow crops	种庄稼	phrase
5-1	put out fire	灭火	phrase
5-1	fire	火	noun
5-1	burn	燃烧	verb
5-1	hurt	（使）受伤	verb
5-1	must	必须	verb
5-1	careful	小心的	adj
5-1	safety	安全	noun
5-1	smoke	吸烟	verb
5-1	match	火柴	noun
5-1	heat	热，高温	noun
5-1	hate	讨厌	verb
5-1	burn down	烧毁	phrase
5-1	be careful with	当心……	phrase
5-1	not...at all	一点也不……	phrase
5-2	tidy	整理	verb
5-2	mess	脏乱，不整洁	noun
5-2	let	让	verb
5-2	sock	短袜	clothes
5-2	yours	你的，你们的	pronoun
5-2	cap	帽子	clothes
5-2	mine	我的	pronoun
5-2	crayon	蜡笔	school
5-2	umbrella	雨伞	noun
5-2	nail	钉子	noun
5-2	drop	使落下	verb
5-2	stick	粘贴	verb
5-2	second	秒	time
5-2	hers	她的	pronoun
5-2	theirs	他们的	pronoun
5-2	tidy up	把……整理好	phrase
5-2	be full of	装满……	phrase
5-2	a few	几个，一些	phrase
5-2	why	为什么	question
5-2	because	因为	conj
5-2	study	书房，学习	noun
5-2	dining room	餐厅	room
5-2	wild goose	大雁	animal
5-2	change	改变	verb
5-2	place	地方	place
5-2	twice	两次	adv
5-2	every	每个	determiner
5-2	north	北方	direction
5-2	south	南方	direction
5-2	enough	足够的	adj
5-2	then	然后	adv
5-2	all day	一天到晚	phrase
5-2	future	未来	noun
5-2	stand	站	verb
5-2	machine	机器	noun
5-2	will	将	verb
5-2	exercise	运动	noun
5-2	early	早，提早	adv
5-2	easily	容易地	adv
5-2	hard	努力地	adv
5-2	more	更多的	adj
5-2	in the future	将来	phrase
5-2	in front of	在……前面	phrase
5-2	take a photo	拍照	phrase
5-2	wear glasses	戴眼镜	phrase
5-2	do exercise	做运动	phrase
5-2	be weak in	不擅长	phrase
5-2	not...any more	不再	phrase
5-2	storybook	故事书	book
5-2	buy	买	verb
5-2	story	故事	noun
5-2	dictionary	字典	book
5-2	magazine	杂志	book
5-2	newspaper	报纸	book
5-2	week	周	time
5-2	student	学生	person
5-2	poster	海报	noun
5-2	best	最好的	adj
5-2	writer	作家	job
5-2	over there	在那边	phrase
5-2	do a survey	做调查	phrase
5-2	act out	表演	phrase
5-2	weekend	周末	time
5-2	stay	待，暂住	verb
5-2	film	电影	noun
5-2	boat	小船	vehicle
5-2	plan	安排，计划	verb
5-2	tomorrow	明天	time
5-2	build	建筑，建造	verb
5-2	next	紧接着	adj
5-2	swing	秋千	noun
5-2	cry	哭，喊叫	verb
5-2	until	直到	prep
5-2	see a film	看电影	phrase
5-2	row a boat	划船	phrase
5-2	holiday	假日	time
5-2	clear	清澈的	adj
5-2	seafood	海鲜	food
5-2	hotel	旅馆	place
5-2	island	岛	nature
5-2	butterfly	蝴蝶	animal
5-2	how long	多久	phrase
5-2	go swimming	去游泳	phrase
5-2	in the south of	在……的南部	phrase
5-2	all year round	一年到头	phrase
5-2	meet	迎接，会见	verb
5-2	school gate	校门	place
5-2	art room	美术室	place
5-2	hall	礼堂	place
5-2	finally	最后	adv
5-2	meeting room	会议室	place
5-2	show	给……看	verb
5-2	project	课题	noun
5-2	board	布告牌	noun
5-2	which	哪一个	question
5-2	trousers	裤子	clothes
5-2	size	尺寸	noun
5-2	sweater	毛衣	clothes
5-2	coat	外套	clothes
5-2	shoe	鞋子	clothes
5-2	emperor	皇帝	person
5-2	only	只有	adv
5-2	nod	点头	verb
5-2	smile	微笑	verb
5-2	money	钱	noun
5-2	keep	保持	verb
5-2	laugh	大笑	verb
5-2	try on	试穿（衣物）	phrase
5-2	put on	穿，戴	phrase
5-2	keep quiet	保持安静	phrase
5-2	have a look	看一看	phrase
5-2	ill	生病的	adj
5-2	wrong	有毛病，不正常	adj
5-2	headache	头疼	noun
5-2	fever	发烧	noun
5-2	should	应该	verb
5-2	medicine	药	noun
5-2	rest	休息	verb
5-2	toothache	牙痛	noun
5-2	toothless	没有牙齿的	adj
5-2	present	礼物	noun
5-2	world	世界	noun
5-2	dentist	牙医	job
5-2	have a headache	头疼	phrase
5-2	have a fever	发烧	phrase
5-2	have a cold	感冒	phrase
5-2	have a rest	休息一下	phrase
5-2	get well	康复	phrase
5-2	have a toothache	牙疼	phrase
5-2	have a meeting	开会	phrase
5-2	pull out	把……拔出	phrase
5-2	invention	发明	noun
5-2	watch	手表	noun
5-2	anywhere	任何地方	place
5-2	travel	旅行	verb
5-2	invent	发明	verb
5-2	something	某事，某物	pronoun
5-2	myself	我自己	pronoun
5-2	camera	相机	noun
5-2	far away from	远离……	phrase
5-2	festival	节日	noun
5-2	important	重要的	adj
5-2	call	把……叫做	verb
5-2	dumpling	饺子	food
5-2	relative	亲戚	family
5-2	red packet	红包	noun
5-2	firework	烟花	noun
5-2	monster	怪物	noun
5-2	end	结尾，结束	noun
5-2	village	村庄	place
5-2	last	最后的	adj
5-2	firecracker	鞭炮	noun
5-2	mooncake	月饼	food
5-2	at the end of	在……最后	phrase
5-2	giant	巨人	person
5-2	wall	围墙	noun
5-2	kind	友好的	adj
5-2	through	穿过	prep
5-2	no entry	禁止入内	sign
5-2	be kind to	对……友好	phrase
5-2	knock down	推倒，拆掉	phrase
6-1	month	一个月的时间，月份	time
6-1	cute	可爱的	adj
6-1	pretty	漂亮的	adj
6-1	handsome	英俊的，帅气的	adj
6-1	turtle	乌龟	animal
6-1	catch	逮住，捕捉	verb
6-1	fly	苍蝇	animal
6-1	grow up	长大，成长	phrase
6-1	junior high school	初级中学	place
6-1	famous	著名的，出名的	adj
6-1	during	在……期间	prep
6-1	spend	度过	verb
6-1	everyone	每个人，所有人	pronoun
6-1	countryside	乡村，农村	place
6-1	pick	采摘	verb
6-1	summer holiday	暑假	time
6-1	healthy	健康的，有益于健康的	adj
6-1	unhealthy	不健康的	adj
6-1	hamburger	汉堡包	food
6-1	cola	可乐	drink
6-1	yesterday	昨天	time
6-1	fruit	水果	food
6-1	pie	馅饼	food
6-1	pizza	比萨饼	food
6-1	sandwich	三明治	food
6-1	vegetable	蔬菜	food
6-1	chicken	鸡肉	food
6-1	chocolate	巧克力	food
6-1	neighbour	邻居	person
6-1	son	儿子	family
6-1	daughter	女儿	family
6-1	noisy	吵闹的	adj
6-1	owl	猫头鹰	animal
6-1	dig	挖（土），掘（洞）	verb
6-1	make noise	制造噪音	phrase
6-1	thousand	一千	number
6-1	hundred	一百	number
6-1	wild	野生环境的，野生的	adj
6-1	south China tiger	华南虎	animal
6-1	blue whale	蓝鲸	animal
6-1	way	路，方式，方法	noun
6-1	die	死，死亡	verb
6-1	rhino	犀牛	animal
6-1	learn	学会，学习	verb
6-1	send	安排去，寄，送	verb
6-1	in danger	面临危险	phrase
6-1	e-friend	网友	person
6-1	country	国家	country
6-1	other	其他的	adj
6-1	team	队	noun
6-1	hobby	业余爱好	noun
6-1	grade	年级	school
6-1	yourself	你自己	pronoun
6-1	shall	表示提出或征求意见	verb
6-1	princess	公主	person
6-1	police	警方，警察部门	job
6-1	exciting	令人激动的	adj
6-1	brave	勇敢的	adj
6-1	policeman	警察	job
6-1	boring	没趣的，令人厌倦的	adj
6-1	queen	王后	person
6-1	mirror	镜子	noun
6-1	fairest	最美丽的	adj
6-1	kill	杀死	verb
6-1	asleep	睡着的	adj
6-1	bee	蜜蜂	animal
6-1	insect	昆虫	animal
6-1	ant	蚂蚁	animal
6-1	anything	任何东西	pronoun
6-1	kind	种类	noun
6-1	finger	手指	body
6-1	dancer	跳舞者，舞蹈演员	job
6-1	insect museum	昆虫博物馆	place
6-1	model car	汽车模型	toy
6-1	science museum	科学博物馆	place
6-1	capital	首都	place
6-1	north	北，北部	direction
6-1	east	东，东部	direction
6-1	west	西，西部	direction
6-1	south	南，南部	direction
6-1	palace	王宫，宫殿	place
6-1	most	大多数	determiner
6-1	tourist	游客	person
6-1	building	建筑物，楼房	place
6-1	sushi	寿司	food
6-1	air	空气	nature
6-1	everywhere	处处，到处	adv
6-1	alive	活着的	adj
6-1	balloon	气球	noun
6-1	factory	工厂	place
6-1	smoke	烟	noun
6-1	dirty	脏的	adj
6-1	clean	干净的，洁净的	adj
6-1	hurt	感到痛	verb
6-1	fresh	清新的	adj
6-1	plant	种植	verb
6-1	wood	木头，木材	noun
6-1	cool	使变凉	verb
6-1	match	火柴	noun
6-1	miss	想念	verb
6-1	Earth	地球	nature
6-1	part	地区，区域	noun
6-1	forest	森林	nature
6-1	land	陆地	nature
6-1	ocean	海洋	nature
6-1	rubbish	垃圾	noun
6-1	sick	生病的	adj
6-1	recycle	回收利用，再利用	verb
6-1	own	自己的	adj
6-1	plastic	塑料	noun
6-2	weigh	有……重；重	verb
6-2	kilogram	千克；公斤	noun
6-2	centimetre	厘米	noun
6-2	taller	更高的	adj
6-2	fan	迷；爱好者	person
6-2	fantastic	极好的	adj
6-2	themselves	他们自己、她们自己、它们自己	pronoun
6-2	theatre	剧院	place
6-2	go fishing	去钓鱼	phrase
6-2	enjoy oneself	玩得愉快；得到乐趣	phrase
6-2	get in	收割	phrase
6-2	life	生活	noun
6-2	writer	作家	job
6-2	photographer	摄影师	job
6-2	film	胶卷	noun
6-2	digital	数码的	adj
6-2	street cleaner	环卫工人	job
6-2	sweep	扫地	verb
6-2	broom	扫帚	noun
6-2	drive	驾驶	verb
6-2	street sweeper	扫地车	vehicle
6-2	wife	妻子	family
6-2	poor	贫穷的；差的；次的	adj
6-2	fairy	仙子；小精灵	person
6-2	wish	愿望；祝愿	noun
6-2	by hand	用手	phrase
6-2	right away	立即；马上	phrase
6-2	in a short time	很快	phrase
6-2	carry	背；提；拿	verb
6-2	online	在线地；在线的	adj
6-2	head teacher	校长	job
6-2	PS	附言	noun
6-2	mountain	山；山脉	nature
6-2	even	甚至	adv
6-2	space	太空	nature
6-2	dinosaur	恐龙	animal
6-2	a piece of	一张；一片	phrase
6-2	have a picnic	去野餐	phrase
6-2	better and better	越来越好	phrase
6-2	oil	油	noun
6-2	oil painting	油画	noun
6-2	powerful	强有力的；力量强大的	adj
6-2	ink	墨水；墨汁	noun
6-2	Chinese ink painting	中国水墨画	noun
6-2	brush	画笔；刷子；刷	noun
6-2	paints	绘画颜料	noun
6-2	artist	艺术家；画家	job
6-2	unhappy	不高兴的	adj
6-2	carefully	仔细地	adv
6-2	on the left	在左边	phrase
6-2	on the right	在右边	phrase
6-2	all the time	一直；始终	phrase
6-2	craft	手艺	noun
6-2	crown	王冠；皇冠	noun
6-2	scissors	剪刀	noun
6-2	tape	胶带	noun
6-2	glue	胶水	noun
6-2	saw	锯	noun
6-2	craftman	工匠；手艺人	job
6-2	tool	工具	noun
6-2	easily	容易地	adv
6-2	himself	他自己	pronoun
6-2	still	仍然	adv
6-2	model house	房子模型	toy
6-2	a long time ago	很久以前	phrase
6-2	at work	忙着（做事情）	phrase
6-2	say to oneself	自言自语	phrase
6-2	long race	长跑	sport
6-2	short race	短跑	sport
6-2	win	获胜；赢	verb
6-2	long jump	跳远	sport
6-2	high jump	跳高	sport
6-2	swimsuit	游泳衣	clothes
6-2	swimming cap	游泳帽	clothes
6-2	swimming pool	游泳池	place
6-2	warm-up	准备活动；热身练习	sport
6-2	fit	健壮的	adj
6-2	swimming goggles	游泳镜	clothes
6-2	bell	铃铛	noun
6-2	neck	脖子	body
6-2	ago	以前	adv
6-2	gatekeeper	门卫	job
6-2	praise	赞扬；称赞	verb
6-2	praise for	因……而表扬……	phrase
6-2	sign	标识	noun
6-2	middle	中间；中部；中心	noun
6-2	special	特别的	adj
6-2	path	小路；小径	place
6-2	may	可能；可以	verb
6-2	lost	迷路的；迷失的	adj
6-2	worry	担心	verb
6-2	follow	跟随；跟着	verb
6-2	in the middle	在中间	phrase
6-2	look out	小心；当心	phrase
6-2	no smoking	禁止吸烟	sign
6-2	no swimming	禁止游泳	sign
6-2	get lost	迷路	phrase
6-2	some time	一段时间	phrase
6-2	on the way	在路上	phrase
6-2	reuse	重新利用	verb
6-2	can	金属罐	noun
6-2	rubber	橡皮	noun
6-2	vase	花瓶	noun
6-2	pen holder	笔筒	noun
6-2	envelope	信封	noun
6-2	plastic	塑料制的；塑料的	adj
6-2	rubbish bin	垃圾桶	noun
6-2	truck	卡车	vehicle
6-2	piece	碎片；碎块	noun
6-2	cloth	布；布料	noun
6-2	throw away	扔掉	phrase
6-2	fairy tale	童话（故事）	book
6-2	adult	成年人	person
6-2	well-known	众所周知的；著名的	adj
6-2	stronger	更强大的	adj
6-2	than	比	prep
6-2	scarf	围巾	clothes
6-2	blow off	吹掉	phrase
6-2	take off	脱掉	phrase
6-2	Western	西方的	adj
6-2	turkey	火鸡	animal
6-2	bright	明亮的；鲜艳的	adj
6-2	laugh at	嘲笑	phrase
6-2	jack-o'-lantern	南瓜灯	noun
6-2	pea	豌豆	food
6-2	pod	豆荚	nature
6-2	forever	永远	adv
6-2	bigger	更大的	adj
6-2	excited	兴奋的	adj
6-2	bullet	子弹	noun
6-2	lazy	懒惰的	adj
6-2	roof	屋顶	noun
6-2	yard	院子	place
6-2	hit	碰撞；撞击	verb
6-2	see the world	见世面	phrase
6-2	one by one	一个接一个地	phrase
6-2	look out of	往外看	phrase
